carat,cut,color,clarity,depth,table,x,y,z,price_predicted
0.32,Ideal,D,VVS2,61.3,55.8,4.43,4.44,2.71,1894
1.04,Ideal,H,SI1,62.7,54.0,6.51,6.47,4.07,4897
1.22,Ideal,G,IF,61.7,56.0,6.87,6.91,4.25,9366
1.0,Good,H,SI1,63.7,60.0,6.33,6.3,4.02,4249
0.31,Ideal,D,IF,61.1,56.0,4.39,4.42,2.69,2764
2.01,Premium,H,VS2,62.8,58.0,7.99,7.9,4.99,14935
0.36,Ideal,F,VS1,61.3,54.0,4.63,4.65,2.84,966
0.39,Very Good,I,VVS2,62.7,58.0,4.65,4.67,2.92,455
0.33,Premium,G,VS1,61.6,58.0,4.44,4.39,2.72,438
0.32,Premium,I,IF,60.3,58.0,4.45,4.41,2.67,1184
0.4,Ideal,F,SI2,62.1,54.0,4.75,4.78,2.96,-229
1.0,Very Good,D,SI1,62.1,61.0,6.3,6.32,3.92,5871
0.33,Fair,H,VVS2,65.1,59.0,4.4,4.32,2.84,53
1.5,Ideal,G,VS1,61.3,56.0,7.41,7.37,4.53,10703
0.81,Very Good,I,VS1,63.2,59.0,5.9,5.84,3.71,3339
0.32,Very Good,G,VVS1,60.9,57.0,4.41,4.44,2.69,1236
1.11,Very Good,H,VS1,63.2,57.0,6.61,6.53,4.15,6328
0.5,Ideal,H,VS2,60.8,56.0,5.17,5.19,3.14,874
0.33,Good,I,VS1,63.1,56.0,4.38,4.4,2.77,-511
0.27,Fair,E,VS1,66.4,58.0,3.99,4.02,2.66,232
1.7,Ideal,H,I1,61.3,55.0,7.7,7.63,4.7,10512
0.4,Very Good,E,SI1,60.8,62.0,4.72,4.76,2.88,559
1.51,Good,E,SI2,63.1,58.0,7.28,7.31,4.6,9640
0.3,Very Good,E,VS2,61.9,61.0,4.28,4.32,2.66,301
0.64,Very Good,D,SI1,63.7,54.0,5.47,5.52,3.5,2452
0.9,Good,F,SI1,62.8,64.0,6.18,5.99,3.82,4134
1.0,Very Good,H,SI2,60.2,61.0,6.44,6.48,3.89,4141
1.01,Ideal,D,VS2,59.8,56.0,6.49,6.52,3.89,6710
0.41,Very Good,E,SI1,62.9,57.0,4.72,4.76,2.98,468
1.0,Fair,F,VS2,68.4,58.0,5.97,6.1,4.13,5058
0.31,Very Good,G,SI1,61.5,59.0,4.34,4.38,2.68,-755
1.03,Very Good,D,SI2,61.8,60.0,6.42,6.45,3.98,5630
1.03,Premium,H,SI1,61.9,58.0,6.49,6.43,4.0,4833
0.91,Premium,G,VVS2,61.8,58.0,6.24,6.16,3.83,5506
0.31,Very Good,E,VVS1,60.0,56.0,4.45,4.49,2.68,1798
0.8,Very Good,E,SI1,62.9,60.0,5.87,5.89,3.7,3614
1.02,Very Good,D,SI1,62.7,60.0,6.34,6.39,3.99,5962
1.0,Ideal,G,VS1,62.5,54.0,6.41,6.45,4.02,5801
0.34,Premium,D,SI1,62.8,58.0,4.48,4.44,2.8,432
1.0,Ideal,G,VS2,62.3,54.0,6.42,6.38,3.99,5390
0.73,Ideal,G,VS2,61.7,56.0,5.79,5.81,3.58,3027
0.34,Good,E,SI1,63.3,57.0,4.44,4.47,2.82,-123
1.0,Premium,J,SI1,62.8,59.0,6.37,6.27,3.97,3878
0.54,Ideal,G,VS1,61.8,55.3,5.22,5.24,3.23,1966
1.02,Very Good,F,SI2,60.9,58.0,6.43,6.55,3.95,4913
0.8,Very Good,G,VVS2,62.5,56.0,5.95,5.98,3.73,4310
0.31,Very Good,H,SI1,61.0,61.0,4.33,4.39,2.66,-1043
2.0,Premium,D,SI2,61.6,59.0,8.2,8.09,5.02,15126
1.5,Premium,J,VVS2,61.5,60.0,7.31,7.27,4.48,10200
1.22,Premium,I,SI2,62.5,58.0,6.8,6.76,4.24,5795
0.72,Very Good,I,VS2,61.8,60.0,5.72,5.76,3.55,2127
0.3,Good,G,SI2,63.3,57.0,4.25,4.28,2.7,-1482
0.54,Good,E,VS2,60.2,61.0,5.27,5.32,3.19,1961
1.02,Premium,F,SI1,62.3,58.0,6.38,6.46,4.0,5373
1.01,Very Good,F,VS2,63.1,60.0,6.39,6.29,4.0,5635
0.3,Ideal,G,IF,60.9,56.0,4.34,4.36,2.65,1738
1.19,Premium,I,SI2,61.6,56.0,6.87,6.83,4.22,5479
1.51,Good,I,SI2,63.6,60.0,7.23,7.27,4.61,8299
1.02,Good,G,I1,57.4,59.0,6.64,6.6,3.8,4334
3.22,Ideal,I,I1,62.6,55.0,9.49,9.42,5.92,25781
0.41,Ideal,E,SI1,62.9,57.0,4.76,4.72,2.98,652
0.52,Very Good,D,SI2,62.4,59.0,5.05,5.15,3.18,1219
1.52,Premium,D,SI1,60.8,61.0,7.39,7.26,4.45,11062
0.36,Ideal,H,VVS1,62.0,54.0,4.59,4.61,2.85,1231
0.51,Premium,D,SI1,62.7,59.0,5.08,5.06,3.18,1664
0.53,Premium,J,VS2,62.7,56.0,5.18,5.15,3.24,270
1.01,Good,F,SI2,61.3,62.0,6.44,6.48,3.96,4681
0.7,Good,F,I1,63.9,60.0,5.65,5.52,3.58,1303
0.34,Ideal,H,VS2,61.2,55.0,4.49,4.53,2.76,-238
1.04,Premium,G,VS2,62.2,58.0,6.49,6.4,4.01,5735
0.39,Premium,E,VS2,60.1,61.0,4.76,4.72,2.85,1068
1.01,Premium,F,VS1,61.7,58.0,6.4,6.43,3.96,6285
0.3,Very Good,F,VVS1,62.6,56.0,4.27,4.29,2.68,1348
1.71,Ideal,G,VS1,63.0,56.0,7.65,7.58,4.8,12644
1.1,Premium,H,VS2,61.4,58.0,6.68,6.62,4.08,5974
1.15,Ideal,H,SI2,62.6,55.0,6.74,6.65,4.19,5486
0.32,Ideal,H,VS1,61.8,55.0,4.41,4.42,2.73,59
2.01,Premium,G,SI2,59.9,62.0,8.15,8.04,4.85,14613
0.24,Very Good,G,VVS1,61.7,56.0,3.98,4.02,2.46,764
0.41,Very Good,E,SI2,62.9,58.0,4.74,4.77,2.99,-26
0.28,Very Good,D,VVS1,60.6,58.0,4.23,4.25,2.57,2001
0.31,Premium,D,SI1,60.9,60.0,4.38,4.39,2.67,348
0.45,Good,F,VS2,56.8,62.0,5.1,5.14,2.91,1145
0.44,Very Good,E,VS1,60.7,58.0,4.88,4.91,2.97,1794
0.37,Ideal,F,VVS1,61.3,56.0,4.65,4.68,2.86,1990
0.9,Premium,G,VS2,62.4,61.0,6.17,6.13,3.84,4419
0.53,Ideal,F,SI2,62.2,53.0,5.19,5.22,3.24,735
0.54,Premium,I,IF,58.8,61.0,5.35,5.29,3.13,2845
1.0,Very Good,E,VS2,59.0,58.0,6.49,6.53,3.84,6183
0.32,Ideal,F,IF,61.3,57.0,4.42,4.46,2.72,2160
1.23,Premium,H,SI2,61.2,57.0,6.89,6.86,4.21,6308
1.02,Very Good,E,SI2,62.8,55.0,6.4,6.43,4.03,5075
0.56,Premium,E,VVS2,59.2,56.0,5.49,5.39,3.22,3267
0.43,Ideal,H,IF,62.2,55.0,4.87,4.84,3.02,2183
0.52,Ideal,G,VS1,62.1,54.0,5.14,5.17,3.2,1790
0.38,Very Good,G,SI1,61.8,53.7,4.67,4.69,2.9,-382
0.9,Very Good,I,VVS1,63.4,57.0,6.09,6.12,3.87,5024
1.72,Premium,H,SI1,62.0,57.0,7.67,7.63,4.74,11522
0.31,Very Good,H,SI1,61.7,59.0,4.36,4.39,2.7,-1127
2.02,Premium,F,SI2,61.0,59.0,8.2,8.13,4.98,14789
0.56,Ideal,E,VVS2,61.0,56.0,5.32,5.36,3.26,3275
0.42,Ideal,G,IF,62.0,57.0,4.82,4.8,2.98,2478
0.34,Very Good,I,SI1,61.3,61.0,4.45,4.49,2.74,-1183
0.43,Ideal,G,VS1,62.3,56.0,4.82,4.85,3.01,1114
1.51,Fair,J,SI1,63.4,60.0,7.31,7.18,4.59,8392
0.32,Very Good,G,VS2,60.2,57.0,4.42,4.45,2.67,-141
1.24,Premium,G,VS1,62.0,55.0,6.95,6.89,4.29,8009
0.31,Ideal,E,VS1,61.4,56.0,4.38,4.35,2.68,1035
1.32,Ideal,G,VVS2,62.3,57.0,6.96,7.04,4.36,9383
1.02,Ideal,H,SI2,61.6,55.0,6.49,6.43,3.98,4374
0.7,Very Good,J,VS2,61.1,61.0,5.64,5.69,3.46,1747
1.0,Premium,F,VS1,62.7,55.0,6.39,6.34,3.99,6102
0.41,Ideal,G,VS2,61.4,59.0,4.78,4.76,2.93,570
0.52,Premium,G,SI1,59.7,60.0,5.22,5.2,3.11,941
0.51,Very Good,D,VS2,60.5,60.0,5.16,5.19,3.13,2151
0.3,Premium,D,SI1,61.7,59.0,4.28,4.31,2.65,270
0.39,Good,D,VVS2,58.1,60.0,4.82,4.85,2.81,2245
0.38,Premium,G,IF,62.5,60.0,4.64,4.61,2.89,2097
1.01,Premium,F,SI2,58.3,58.0,6.56,6.55,3.82,5160
1.36,Ideal,G,SI1,60.9,56.0,7.15,7.16,4.36,8441
1.21,Ideal,I,SI1,60.6,55.0,6.92,6.87,4.18,6367
0.3,Very Good,F,IF,62.1,57.0,4.26,4.3,2.66,1864
0.41,Premium,D,VVS1,62.2,58.0,4.77,4.71,2.95,2846
2.03,Premium,J,VS1,59.3,60.0,8.36,8.28,4.93,15114
0.36,Ideal,D,SI1,62.5,56.0,4.55,4.57,2.85,658
0.4,Premium,D,SI1,61.4,56.0,4.83,4.72,2.93,876
2.11,Premium,D,SI2,60.9,60.0,8.28,8.21,5.02,16440
1.06,Ideal,H,SI1,63.0,55.0,6.49,6.44,4.08,5115
0.33,Good,I,VS1,63.2,57.0,4.37,4.4,2.77,-511
0.72,Premium,E,IF,61.3,60.0,5.74,5.71,3.51,5516
1.51,Good,J,SI1,62.4,64.0,7.31,7.23,4.54,8589
1.0,Premium,G,VS2,62.9,56.0,6.42,6.27,3.99,5299
1.02,Ideal,F,SI1,62.8,55.0,6.43,6.4,4.03,5402
0.43,Ideal,E,SI2,62.1,56.0,4.85,4.84,3.01,354
1.0,Fair,G,I1,66.4,59.0,6.16,6.09,4.07,3435
1.7,Premium,I,SI1,58.6,59.0,7.79,7.75,4.55,11353
0.72,Ideal,D,SI2,61.1,58.0,5.76,5.79,3.53,3056
1.22,Premium,G,SI1,63.0,57.0,6.84,6.74,4.28,6844
1.06,Good,F,VS1,58.5,57.0,6.68,6.73,3.92,6783
1.11,Ideal,H,SI1,60.2,54.0,6.82,6.7,4.07,5734
1.01,Premium,H,SI2,61.9,59.0,6.42,6.37,3.96,4205
1.06,Premium,G,VVS1,61.1,58.0,6.53,6.57,4.0,7415
1.54,Premium,E,SI2,59.0,62.0,7.59,7.56,4.47,10456
0.56,Very Good,E,SI1,58.5,59.0,5.42,5.45,3.18,1840
0.25,Good,F,VS1,63.6,57.0,4.01,4.04,2.56,-35
0.9,Ideal,D,SI1,61.6,56.0,6.19,6.21,3.82,5070
0.56,Fair,E,SI2,64.5,61.0,5.18,5.14,3.33,867
0.31,Ideal,F,IF,60.8,56.0,4.43,4.45,2.7,2083
0.39,Very Good,D,VS2,60.2,59.0,4.74,4.76,2.86,1285
1.01,Premium,F,VS1,59.4,60.0,6.5,6.46,3.85,6516
2.02,Ideal,I,SI1,62.4,56.0,8.07,8.11,5.05,14217
1.03,Ideal,D,SI2,61.2,57.0,6.51,6.59,4.01,5750
1.57,Premium,H,VS1,61.7,58.0,7.47,7.56,4.64,10886
0.31,Very Good,D,IF,62.0,56.0,4.33,4.35,2.69,2580
0.5,Premium,D,SI1,61.1,59.0,5.08,5.04,3.09,1734
0.3,Ideal,E,VS2,62.4,57.0,4.29,4.24,2.66,484
1.22,Very Good,D,SI2,62.2,58.0,6.85,6.91,4.28,7269
0.27,Very Good,F,VVS2,61.9,58.0,4.17,4.2,2.59,706
0.41,Ideal,E,VVS1,61.9,55.0,4.79,4.78,2.96,2587
1.24,Premium,F,SI1,61.6,59.0,6.9,6.86,4.24,7497
0.41,Very Good,I,VVS1,62.0,56.0,4.75,4.77,2.95,1105
0.4,Ideal,G,SI2,62.5,53.0,4.75,4.79,2.98,-601
1.01,Ideal,F,SI1,62.0,57.0,6.38,6.42,3.97,5409
1.5,Premium,I,VS1,62.7,59.0,7.25,7.3,4.56,9888
0.56,Ideal,D,SI2,61.3,56.0,5.3,5.33,3.26,1712
0.36,Ideal,I,VS1,62.1,57.0,4.54,4.58,2.83,-3
1.51,Premium,I,VS2,59.9,60.0,7.42,7.36,4.43,9808
1.3,Very Good,I,VS1,62.1,59.0,6.97,7.01,4.34,7869
0.32,Ideal,G,VVS1,61.7,56.0,4.41,4.37,2.71,1378
0.26,Very Good,E,SI1,62.0,54.0,4.08,4.11,2.54,-398
1.51,Very Good,E,SI2,61.8,57.0,7.34,7.32,4.53,9879
0.33,Premium,E,VVS1,60.1,58.0,4.51,4.47,2.7,2087
1.34,Ideal,G,VS1,62.7,57.0,7.04,7.1,4.43,9001
1.01,Good,E,SI1,63.2,59.0,6.25,6.28,3.96,5484
1.0,Premium,G,VS2,60.0,59.0,6.54,6.46,3.9,5488
1.42,Ideal,F,VVS1,60.8,56.0,7.25,7.32,4.43,11234
0.9,Premium,H,VS2,61.2,61.0,6.18,6.08,3.75,4279
1.01,Very Good,E,VS2,63.4,60.0,6.37,6.31,4.02,5923
0.36,Premium,D,VS2,60.5,58.0,4.63,4.6,2.79,1166
0.7,Premium,E,SI1,59.1,62.0,5.8,5.74,3.41,3121
0.37,Good,G,SI2,63.3,55.0,4.58,4.61,2.91,-1088
0.91,Very Good,E,SI1,63.3,56.0,6.12,6.17,3.89,4528
0.8,Ideal,H,VS2,62.8,57.0,5.91,5.87,3.7,3281
0.9,Good,E,SI2,63.4,60.0,6.02,6.07,3.83,3970
0.31,Ideal,G,IF,61.7,56.0,4.38,4.34,2.69,1774
1.51,Good,G,VS1,62.4,59.0,7.25,7.28,4.53,10547
1.11,Premium,I,SI2,61.5,58.0,6.65,6.61,4.08,4817
0.41,Ideal,H,VS1,61.0,54.0,4.84,4.8,2.94,693
1.01,Very Good,J,SI2,62.8,59.0,6.34,6.37,3.99,3390
0.7,Ideal,D,VS2,61.6,58.0,5.66,5.7,3.5,3826
1.63,Ideal,G,VS1,61.7,55.0,7.6,7.56,4.68,11941
1.61,Premium,D,SI2,61.3,58.0,7.56,7.49,4.61,11327
0.72,Very Good,H,SI1,63.0,58.0,5.68,5.71,3.59,1899
0.54,Premium,G,VS2,62.0,58.0,5.21,5.18,3.22,1422
1.22,Very Good,G,IF,62.0,59.0,6.8,6.85,4.23,9224
0.33,Premium,G,IF,59.4,59.0,4.54,4.49,2.68,1942
1.34,Very Good,G,VS2,60.7,59.0,7.04,7.07,4.28,8660
0.76,Ideal,H,VVS1,61.8,57.0,5.82,5.86,3.61,4412
1.74,Ideal,E,SI2,62.3,57.0,7.8,7.7,4.83,12180
0.32,Ideal,G,SI1,61.3,57.0,4.37,4.4,2.69,-473
0.5,Ideal,F,VS2,61.1,58.0,5.1,5.13,3.13,1555
1.44,Good,G,I1,63.2,54.8,7.18,7.21,4.54,7796
0.7,Fair,I,SI1,65.2,58.0,5.6,5.56,3.64,1041
0.52,Ideal,E,VS2,61.4,54.0,5.2,5.23,3.2,1977
0.73,Very Good,G,VVS1,62.9,59.0,5.7,5.78,3.61,4200
1.23,Premium,H,VS1,61.1,58.0,6.91,6.86,4.21,7728
1.02,Premium,H,VS2,61.9,57.0,6.5,6.4,3.99,5208
1.0,Ideal,E,SI1,61.6,55.0,6.45,6.43,3.97,5619
0.7,Very Good,D,SI1,61.1,58.0,5.66,5.73,3.48,3212
1.5,Very Good,E,SI2,62.8,57.0,7.17,7.23,4.52,9780
2.0,Very Good,J,VVS2,63.0,59.0,7.97,8.0,5.03,14926
0.3,Very Good,G,VS2,63.1,56.0,4.28,4.25,2.69,-423
0.26,Premium,E,VVS2,58.9,61.0,4.19,4.16,2.46,1282
0.58,Premium,E,SI1,62.7,58.0,5.33,5.32,3.34,1834
0.4,Very Good,F,VS1,60.4,61.0,4.74,4.77,2.87,1197
0.26,Ideal,D,VS1,62.0,55.0,4.12,4.1,2.55,1041
1.0,Fair,H,SI2,65.1,58.0,6.27,6.15,4.05,3620
0.52,Fair,F,VS1,57.2,59.0,5.35,5.39,3.07,2026
1.02,Premium,D,SI2,59.7,60.0,6.58,6.55,3.92,5728
1.7,Good,I,SI1,59.3,58.0,7.72,7.77,4.59,11085
1.01,Premium,H,SI2,61.6,61.0,6.39,6.31,3.91,4310
0.55,Ideal,E,VS2,61.8,57.0,5.34,5.27,3.28,2167
1.04,Good,F,VS1,63.2,57.0,6.41,6.44,4.06,6249
1.02,Premium,D,VS2,62.9,60.0,6.42,6.37,4.02,6464
0.3,Ideal,F,SI1,62.3,54.0,4.3,4.27,2.67,-340
0.97,Ideal,F,I1,60.7,56.0,6.43,6.41,3.9,4132
0.31,Ideal,E,VS2,62.0,55.0,4.35,4.33,2.69,541
0.81,Ideal,H,VS1,61.8,58.0,5.97,6.04,3.71,3852
1.02,Premium,D,SI1,62.3,59.0,6.42,6.38,3.99,6054
0.3,Premium,I,VVS1,61.1,59.0,4.31,4.33,2.64,534
0.4,Very Good,E,VS1,62.8,59.0,4.63,4.67,2.92,1422
0.71,Very Good,F,VVS1,63.2,60.0,5.65,5.61,3.56,4396
0.7,Premium,G,SI1,61.5,58.0,5.69,5.76,3.52,2229
0.23,Ideal,E,SI2,61.5,55.0,3.95,3.98,2.43,-815
1.09,Ideal,G,VS1,62.3,55.0,6.59,6.63,4.12,6666
0.3,Ideal,E,VVS2,61.0,56.0,4.33,4.39,2.66,1431
0.35,Premium,E,VS2,59.5,58.0,4.59,4.62,2.74,822
1.13,Ideal,F,VS2,62.1,56.0,6.65,6.71,4.15,6937
0.31,Ideal,G,VVS1,61.5,54.0,4.36,4.39,2.69,1300
1.33,Ideal,I,VS2,61.1,54.0,7.14,7.15,4.37,7875
1.25,Premium,I,SI2,60.5,58.0,7.0,6.96,4.22,6196
2.0,Fair,H,SI1,61.2,50.0,8.17,8.08,4.97,14109
0.7,Ideal,G,SI1,62.5,56.0,5.67,5.69,3.55,2258
0.39,Good,F,VS2,64.3,55.0,4.56,4.64,2.96,323
0.5,Ideal,E,VS2,60.8,57.0,5.16,5.13,3.13,1885
0.3,Premium,E,VS2,61.6,58.0,4.33,4.31,2.66,392
1.37,Ideal,J,VS2,63.0,57.0,7.11,7.05,4.46,7833
0.8,Ideal,H,VS2,62.1,54.0,5.96,5.99,3.71,3260
0.28,Very Good,F,VVS1,60.1,59.0,4.24,4.25,2.55,1383
0.34,Good,E,SI1,60.5,60.1,4.5,4.53,2.73,66
0.3,Very Good,E,VS2,62.6,58.0,4.25,4.28,2.67,279
0.85,Ideal,E,SI2,62.8,57.0,6.06,6.01,3.79,3732
1.0,Very Good,E,SI1,60.9,59.0,6.38,6.43,3.9,5583
0.41,Premium,G,VS2,62.6,59.0,4.73,4.76,2.97,394
1.5,Premium,G,VS2,60.3,60.0,7.34,7.26,4.4,10412
0.72,Very Good,H,SI2,63.3,57.0,5.7,5.67,3.6,1405
0.33,Premium,G,VS1,62.0,59.0,4.42,4.36,2.72,438
0.39,Ideal,E,IF,61.5,55.5,4.68,4.72,2.88,2990
0.4,Ideal,E,VS2,61.4,57.0,4.78,4.75,2.92,1132
1.01,Good,F,SI1,63.5,59.0,6.29,6.38,4.02,5028
1.02,Ideal,I,SI2,60.6,56.0,6.57,6.53,3.97,4065
1.01,Ideal,D,SI1,63.0,56.0,6.36,6.41,4.02,5963
0.7,Ideal,F,SI1,61.8,56.0,5.68,5.75,3.53,2630
0.57,Very Good,F,VS2,59.5,57.0,5.39,5.43,3.22,2019
1.5,Very Good,F,SI1,63.9,58.0,7.12,7.16,4.56,9840
1.01,Premium,J,SI2,59.3,56.0,6.51,6.45,3.84,3798
0.51,Ideal,D,VS2,61.2,55.0,5.17,5.13,3.15,2292
1.0,Premium,E,SI2,61.7,58.0,6.39,6.34,3.93,5138
0.71,Premium,E,VVS1,62.5,57.0,5.67,5.62,3.53,4881
0.52,Very Good,D,VVS2,59.8,55.0,5.28,5.35,3.18,3112
0.4,Good,I,IF,62.3,62.0,4.69,4.72,2.93,1409
0.81,Premium,I,VVS2,62.9,59.0,5.95,5.84,3.71,3904
0.53,Ideal,F,VVS2,61.3,55.0,5.23,5.27,3.22,2671
2.02,Premium,I,SI2,59.4,59.0,8.25,8.21,4.89,13989
2.11,Ideal,I,SI1,61.0,57.0,8.37,8.29,5.08,15229
1.15,Ideal,D,VS2,58.5,57.0,6.96,6.93,4.06,8026
0.7,Premium,I,VVS2,60.1,59.0,5.8,5.72,3.46,3116
1.07,Premium,F,SI1,61.7,56.0,6.66,6.5,4.06,5845
0.56,Ideal,H,SI1,61.9,54.0,5.3,5.33,3.29,802
1.74,Ideal,G,VS2,62.9,57.0,7.68,7.64,4.82,12488
0.31,Very Good,G,VVS2,62.2,56.0,4.31,4.34,2.69,644
0.5,Very Good,H,VVS2,62.9,56.0,5.03,5.08,3.18,1553
1.07,Ideal,D,VVS2,60.3,56.0,6.63,6.68,4.01,8121
0.3,Premium,G,VS1,61.8,59.0,4.37,4.34,2.69,143
0.51,Ideal,E,SI1,62.1,55.0,5.09,5.15,3.18,1426
0.91,Very Good,G,SI1,63.5,58.0,6.15,6.04,3.87,3910
0.3,Very Good,H,SI1,61.3,58.0,4.29,4.33,2.64,-1121
0.7,Ideal,F,VS2,61.0,55.0,5.74,5.79,3.52,3124
0.76,Ideal,D,VS1,61.7,56.0,5.84,5.87,3.61,4785
1.15,Ideal,I,VS1,61.3,56.0,6.74,6.76,4.14,6681
1.47,Premium,J,SI2,60.0,58.0,7.36,7.31,4.4,8117
1.2,Ideal,G,SI1,61.8,59.0,6.77,6.8,4.19,6887
1.07,Ideal,E,SI1,60.4,57.0,6.62,6.56,3.98,6435
1.01,Ideal,F,SI1,62.0,54.0,6.41,6.49,4.0,5346
0.28,Premium,G,VVS2,60.2,60.0,4.24,4.26,2.56,650
2.27,Premium,H,SI2,60.7,59.0,8.5,8.45,5.15,16759
0.4,Premium,D,VS2,61.7,59.0,4.75,4.72,2.92,1370
0.39,Very Good,J,VS1,63.5,58.0,4.64,4.59,2.93,-369
1.14,Premium,H,SI2,60.6,59.0,6.8,6.77,4.11,5443
0.53,Ideal,E,VVS1,61.9,55.0,5.2,5.21,3.22,3474
0.4,Ideal,I,SI2,61.0,58.0,4.74,4.77,2.9,-1092
0.58,Premium,H,VS2,59.7,59.0,5.42,5.33,3.21,1591
0.7,Premium,D,SI1,61.2,58.0,5.74,5.7,3.5,3261
0.55,Ideal,H,IF,61.5,55.0,5.25,5.29,3.25,3133
0.72,Very Good,I,VS2,63.3,57.0,5.66,5.72,3.6,2021
0.3,Ideal,F,SI1,62.3,53.9,4.28,4.31,2.68,-361
1.02,Ideal,H,SI1,61.9,57.0,6.46,6.4,3.98,4847
0.51,Very Good,I,SI1,63.5,55.0,5.07,5.11,3.23,-183
0.65,Premium,E,SI2,62.6,59.0,5.54,5.49,3.45,1966
1.07,Ideal,H,SI1,61.1,56.0,6.63,6.6,4.04,5319
0.43,Ideal,G,VVS1,61.8,55.0,4.87,4.9,3.02,2040
0.32,Premium,I,IF,60.3,58.0,4.41,4.45,2.67,1184
0.28,Very Good,F,VS2,62.7,58.0,4.14,4.15,2.6,-142
1.7,Very Good,G,VS2,62.6,57.0,7.6,7.67,4.78,11910
0.51,Very Good,I,SI1,62.5,58.0,5.05,5.12,3.18,-78
0.71,Ideal,D,VS2,60.4,57.0,5.77,5.82,3.5,3946
0.4,Premium,E,VS2,62.0,58.0,4.73,4.69,2.92,1040
0.9,Ideal,G,SI1,60.2,56.0,6.24,6.29,3.77,4185
0.59,Good,F,VS1,60.5,61.0,5.43,5.5,3.31,2450
1.19,Premium,D,SI2,58.6,61.0,6.93,6.89,4.05,7487
0.51,Premium,G,VS2,61.3,59.0,5.17,5.11,3.15,1211
0.5,Very Good,E,VS2,61.8,57.0,5.05,5.11,3.14,1680
1.01,Fair,H,SI2,64.9,56.0,6.33,6.25,4.08,3677
0.63,Premium,E,VS1,60.4,58.0,5.59,5.64,3.39,3273
0.72,Ideal,D,SI2,62.7,55.0,5.7,5.72,3.58,2950
0.3,Ideal,F,VS2,60.7,57.0,4.34,4.29,2.62,238
0.3,Ideal,E,VVS2,61.6,56.0,4.32,4.35,2.67,1410
0.29,Very Good,D,VVS2,59.1,61.0,4.33,4.37,2.57,1647
1.0,Very Good,E,SI2,63.2,56.0,6.33,6.36,4.01,4878
1.17,Ideal,G,VS1,61.7,57.0,6.71,6.75,4.15,7559
1.56,Very Good,H,VVS2,63.3,58.0,7.3,7.35,4.64,11148
0.56,Ideal,E,SI1,62.7,57.0,5.27,5.23,3.29,1792
0.41,Very Good,I,SI2,63.5,57.0,4.72,4.7,2.99,-1346
1.53,Very Good,I,VS1,62.8,55.0,7.35,7.4,4.63,10007
0.52,Very Good,J,SI1,62.5,59.0,5.14,5.16,3.22,-372
0.4,Ideal,J,SI1,61.4,55.0,4.75,4.8,2.93,-1012
1.0,Premium,F,VS2,59.0,59.0,6.54,6.51,3.85,5923
0.36,Ideal,F,VS1,61.5,55.0,4.57,4.61,2.82,1008
0.41,Ideal,E,VS2,61.8,57.0,4.76,4.78,2.95,1188
0.9,Premium,H,SI1,61.4,60.0,6.13,6.08,3.75,3805
1.59,Premium,G,SI1,62.3,60.0,7.49,7.42,4.64,10509
1.03,Premium,G,VS1,62.2,59.0,6.41,6.46,4.0,6109
0.38,Premium,G,VS1,61.9,56.0,4.68,4.63,2.88,699
0.74,Ideal,E,SI2,59.2,59.0,5.92,5.97,3.52,2986
1.5,Very Good,G,SI1,63.1,59.0,7.22,7.27,4.57,9488
1.01,Good,E,SI1,59.3,64.0,6.47,6.49,3.84,5737
1.71,Premium,H,VS2,62.5,58.0,7.64,7.52,4.74,11876
0.9,Very Good,G,VS2,61.3,59.0,6.15,6.21,3.79,4433
1.09,Ideal,G,SI2,61.2,57.0,6.63,6.68,4.07,5351
0.78,Very Good,E,VS1,60.0,56.0,6.0,6.03,3.61,4511
0.32,Ideal,D,VS2,61.5,56.0,4.41,4.44,2.72,927
0.3,Ideal,F,IF,62.0,56.0,4.31,4.33,2.68,2005
1.01,Premium,G,SI1,58.8,58.0,6.59,6.51,3.85,5240
0.32,Ideal,D,VVS2,61.7,55.0,4.39,4.42,2.72,1873
1.05,Premium,H,VS2,62.7,59.0,6.49,6.43,4.05,5440
0.9,Ideal,H,SI1,61.1,58.0,6.24,6.19,3.79,3813
0.54,Ideal,G,VVS1,62.2,56.0,5.2,5.22,3.24,2891
1.5,Ideal,E,SI1,62.6,56.0,7.27,7.3,4.56,10353
1.01,Good,D,SI1,62.9,57.0,6.34,6.37,4.0,5730
1.76,Ideal,F,SI2,62.6,55.0,7.69,7.64,4.8,12152
1.01,Fair,F,VS2,65.2,52.0,6.31,6.29,4.11,5220
1.03,Ideal,H,SI2,60.5,57.0,6.58,6.52,3.96,4536
0.3,Ideal,E,VVS1,60.1,57.0,4.38,4.41,2.64,1946
2.03,Ideal,G,SI2,62.5,56.0,8.1,8.05,5.05,14523
0.54,Premium,I,VVS1,60.8,61.0,5.28,5.22,3.19,2245
1.01,Premium,D,SI2,58.3,59.0,6.67,6.63,3.88,5693
1.51,Fair,I,I1,65.1,57.0,7.16,7.12,4.65,7649
0.56,Very Good,E,VS1,62.7,60.0,5.25,5.28,3.3,2534
0.47,Premium,G,VS2,61.0,59.0,5.03,5.0,3.06,922
0.9,Very Good,G,SI2,61.1,55.0,6.21,6.26,3.81,3444
0.57,Premium,E,VS2,61.0,58.0,5.34,5.31,3.25,2377
0.36,Ideal,G,VVS2,61.8,55.0,4.57,4.62,2.84,1109
